id,name_ru,name_en,description,muscle_group,exercise_type,level,ai_tags,category
endurance_35,Интенсив 4,High Intensity 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Интенсив 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_36,Выносливость 4,Endurance Training 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Выносливость 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_37,Кардио-блок 4,Cardio Block 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-блок 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_38,Аэробная нагрузка 4,Aerobic Exercise 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Аэробная нагрузка 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_39,Функциональная тренировка 4,Functional Training 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Функциональная тренировка 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_40,Круговая тренировка 4,Circuit Training 4,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Круговая тренировка 4 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_41,Кардио-интервал 5,Cardio Interval 5,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Кардио-интервал 5 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
endurance_42,Высокоинтенсивный бег 5,High Intensity Running 5,Кардио упражнение для развития выносливости и улучшения сердечно-сосудистой системы. Высокоинтенсивный бег 5 повышает общую физическую подготовку.,Все тело,cardio,intermediate,"[""Кардио"", ""Выносливость"", ""Сжигание калорий"", ""Интенсивность""]",endurance
main_001,Приседания,Squats,Основное силовое упражнение для развития мышечной силы и выносливости. Приседания является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_002,Отжимания,Push-ups,Основное силовое упражнение для развития мышечной силы и выносливости. Отжимания является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_003,Выпады,Lunges,Основное силовое упражнение для развития мышечной силы и выносливости. Выпады является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_004,Планка,Plank,Основное силовое упражнение для развития мышечной силы и выносливости. Планка является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_005,Мостик,Glute Bridge,Основное силовое упражнение для развития мышечной силы и выносливости. Мостик является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_006,Подъемы ног,Leg Raises,Основное силовое упражнение для развития мышечной силы и выносливости. Подъемы ног является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_007,Скручивания,Crunches,Основное силовое упражнение для развития мышечной силы и выносливости. Скручивания является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_008,Супермен,Superman,Основное силовое упражнение для развития мышечной силы и выносливости. Супермен является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_009,Подтягивания,Pull-ups,Основное силовое упражнение для развития мышечной силы и выносливости. Подтягивания является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_010,Берпи,Burpees,Основное силовое упражнение для развития мышечной силы и выносливости. Берпи является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_011,Жим,Press,Основное силовое упражнение для развития мышечной силы и выносливости. Жим является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_012,Тяга,Rows,Основное силовое упражнение для развития мышечной силы и выносливости. Тяга является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_013,Присед-прыжок,Jump Squats,Основное силовое упражнение для развития мышечной силы и выносливости. Присед-прыжок является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_014,Выпад-прыжок,Jumping Lunges,Основное силовое упражнение для развития мышечной силы и выносливости. Выпад-прыжок является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_015,Подъем на носки,Calf Raises,Основное силовое упражнение для развития мышечной силы и выносливости. Подъем на носки является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_016,Приседания 2,Squats 2,Основное силовое упражнение для развития мышечной силы и выносливости. Приседания 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_017,Отжимания 2,Push-ups 2,Основное силовое упражнение для развития мышечной силы и выносливости. Отжимания 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_018,Выпады 2,Lunges 2,Основное силовое упражнение для развития мышечной силы и выносливости. Выпады 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_019,Планка 2,Plank 2,Основное силовое упражнение для развития мышечной силы и выносливости. Планка 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_020,Мостик 2,Glute Bridge 2,Основное силовое упражнение для развития мышечной силы и выносливости. Мостик 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_021,Подъемы ног 2,Leg Raises 2,Основное силовое упражнение для развития мышечной силы и выносливости. Подъемы ног 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_022,Скручивания 2,Crunches 2,Основное силовое упражнение для развития мышечной силы и выносливости. Скручивания 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_023,Супермен 2,Superman 2,Основное силовое упражнение для развития мышечной силы и выносливости. Супермен 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_024,Подтягивания 2,Pull-ups 2,Основное силовое упражнение для развития мышечной силы и выносливости. Подтягивания 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_025,Берпи 2,Burpees 2,Основное силовое упражнение для развития мышечной силы и выносливости. Берпи 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_026,Жим 2,Press 2,Основное силовое упражнение для развития мышечной силы и выносливости. Жим 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_027,Тяга 2,Rows 2,Основное силовое упражнение для развития мышечной силы и выносливости. Тяга 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_028,Присед-прыжок 2,Jump Squats 2,Основное силовое упражнение для развития мышечной силы и выносливости. Присед-прыжок 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_029,Выпад-прыжок 2,Jumping Lunges 2,Основное силовое упражнение для развития мышечной силы и выносливости. Выпад-прыжок 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_030,Подъем на носки 2,Calf Raises 2,Основное силовое упражнение для развития мышечной силы и выносливости. Подъем на носки 2 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_031,Приседания 3,Squats 3,Основное силовое упражнение для развития мышечной силы и выносливости. Приседания 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_032,Отжимания 3,Push-ups 3,Основное силовое упражнение для развития мышечной силы и выносливости. Отжимания 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_033,Выпады 3,Lunges 3,Основное силовое упражнение для развития мышечной силы и выносливости. Выпады 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_034,Планка 3,Plank 3,Основное силовое упражнение для развития мышечной силы и выносливости. Планка 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_035,Мостик 3,Glute Bridge 3,Основное силовое упражнение для развития мышечной силы и выносливости. Мостик 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_036,Подъемы ног 3,Leg Raises 3,Основное силовое упражнение для развития мышечной силы и выносливости. Подъемы ног 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_037,Скручивания 3,Crunches 3,Основное силовое упражнение для развития мышечной силы и выносливости. Скручивания 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_038,Супермен 3,Superman 3,Основное силовое упражнение для развития мышечной силы и выносливости. Супермен 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_039,Подтягивания 3,Pull-ups 3,Основное силовое упражнение для развития мышечной силы и выносливости. Подтягивания 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_040,Берпи 3,Burpees 3,Основное силовое упражнение для развития мышечной силы и выносливости. Берпи 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_041,Жим 3,Press 3,Основное силовое упражнение для развития мышечной силы и выносливости. Жим 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_042,Тяга 3,Rows 3,Основное силовое упражнение для развития мышечной силы и выносливости. Тяга 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_043,Присед-прыжок 3,Jump Squats 3,Основное силовое упражнение для развития мышечной силы и выносливости. Присед-прыжок 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_044,Выпад-прыжок 3,Jumping Lunges 3,Основное силовое упражнение для развития мышечной силы и выносливости. Выпад-прыжок 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_045,Подъем на носки 3,Calf Raises 3,Основное силовое упражнение для развития мышечной силы и выносливости. Подъем на носки 3 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_046,Приседания 4,Squats 4,Основное силовое упражнение для развития мышечной силы и выносливости. Приседания 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_047,Отжимания 4,Push-ups 4,Основное силовое упражнение для развития мышечной силы и выносливости. Отжимания 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_048,Выпады 4,Lunges 4,Основное силовое упражнение для развития мышечной силы и выносливости. Выпады 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_049,Планка 4,Plank 4,Основное силовое упражнение для развития мышечной силы и выносливости. Планка 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_050,Мостик 4,Glute Bridge 4,Основное силовое упражнение для развития мышечной силы и выносливости. Мостик 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_051,Подъемы ног 4,Leg Raises 4,Основное силовое упражнение для развития мышечной силы и выносливости. Подъемы ног 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_052,Скручивания 4,Crunches 4,Основное силовое упражнение для развития мышечной силы и выносливости. Скручивания 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_053,Супермен 4,Superman 4,Основное силовое упражнение для развития мышечной силы и выносливости. Супермен 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_054,Подтягивания 4,Pull-ups 4,Основное силовое упражнение для развития мышечной силы и выносливости. Подтягивания 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_055,Берпи 4,Burpees 4,Основное силовое упражнение для развития мышечной силы и выносливости. Берпи 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_056,Жим 4,Press 4,Основное силовое упражнение для развития мышечной силы и выносливости. Жим 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_057,Тяга 4,Rows 4,Основное силовое упражнение для развития мышечной силы и выносливости. Тяга 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_058,Присед-прыжок 4,Jump Squats 4,Основное силовое упражнение для развития мышечной силы и выносливости. Присед-прыжок 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_059,Выпад-прыжок 4,Jumping Lunges 4,Основное силовое упражнение для развития мышечной силы и выносливости. Выпад-прыжок 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_060,Подъем на носки 4,Calf Raises 4,Основное силовое упражнение для развития мышечной силы и выносливости. Подъем на носки 4 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_061,Приседания 5,Squats 5,Основное силовое упражнение для развития мышечной силы и выносливости. Приседания 5 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_062,Отжимания 5,Push-ups 5,Основное силовое упражнение для развития мышечной силы и выносливости. Отжимания 5 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
main_063,Выпады 5,Lunges 5,Основное силовое упражнение для развития мышечной силы и выносливости. Выпады 5 является ключевым элементом тренировочной программы.,Мышцы кора,strength,intermediate,"[""Сила"", ""Выносливость"", ""Основная тренировка"", ""Мышечная масса""]",main
