unnamed_0,id,name_ru,name_en,description,osnovnaia_myshechnaia_gruppa,tip_uprazhneniia,level,kliuchevye_tegi_dlia_ii
25,EX009,Боковые выпады,Lateral Lunges,"Выпады в сторону для проработки приводящих и отводящих мышц бедра, а также улучшения боковой стабильности.","Внутренняя/внешняя поверхность бедра, Ягодицы","Силовое, Гибкость",Средний,"[Боковая стабильность], [Гибкость паха]"
26,EX010,"Приседания ""Пистолетик"" (с опорой)",Pistol Squats (Assisted),"Приседания на одной ноге с использованием опоры (TRX, стул) для поддержания равновесия.","Ноги, Ягодицы, Кор","Силовое, Баланс",Продвинутый,"[Продвинутая сила ног], [Баланс], [Координация]"
27,EX011,Зашагивания на возвышенность,Step-Ups,"Поочередные подъемы на устойчивую возвышенность (стул, скамья), имитирующие подъем по лестнице.","Ноги, Ягодицы","Силовое, Кардио",Начальный,"[Сила ног], [Функциональное движение], [Кардио-эффект]"
28,EX012,Выталкивание бедер с эспандером,Banded Hip Thrusts,"Лежа на спине, с эспандером на бедрах, выполняются подъемы таза для акцентированной проработки ягодиц.","Ягодицы, Бицепс бедра",Силовое,Средний,"[Взрывная сила толчков], [Гипертрофия ягодиц], [Догги-стайл]"
29,EX013,Приседания с прыжком,Jump Squats,"Плиометрическая версия приседаний, где из нижней точки выполняется мощный прыжок вверх.","Ноги, Ягодицы","Силовое, Кардио, HIIT",Продвинутый,"[Взрывная сила], [Мощность ног], [Высокая интенсивность]"
30,EX014,Выпады с прыжком,Jumping Lunges,Плиометрическая версия выпадов со сменой ног в прыжке.,"Ноги, Ягодицы","Силовое, Кардио, HIIT",Продвинутый,"[Взрывная сила], [Координация], [Высокая интенсивность]"
31,EX015,Маласана (Глубокий присед),Malasana (Deep Squat),"Удержание положения глубокого приседа для улучшения мобильности тазобедренных суставов, голеностопа и растяжки паховой области.","Ноги, Кор",Гибкость,Средний,"[Подвижность таза], [Гибкость для поз], [Комфорт для пассивной роли]"
33,EX016,Классические отжимания,Classic Push-ups,Фундаментальное упражнение для развития толкающей силы верхней части тела.,"Грудь, Трицепс, Плечи",Силовое,Средний,"[Сила верха тела], [Гипертрофия груди], [Стабильность кора], [Уверенность в теле]"
34,EX017,Отжимания от возвышенности,Incline Push-ups,Упрощенная версия отжиманий с опорой руками на возвышенность. Снижает процент поднимаемого веса тела.,"Грудь, Трицепс, Плечи",Силовое,Начальный,"[Подготовка к отжиманиям], [Безопасно для начинающих]"
35,EX018,Отжимания с колен,Knee Push-ups,"Упрощенная версия отжиманий с опорой на колени, значительно уменьшающая нагрузку.","Грудь, Трицепс, Плечи",Силовое,Начальный,"[Подготовка к отжиманиям], [Сила верха тела]"
36,EX019,Отжимания с ногами на возвышенности,Decline Push-ups,"Усложненная версия отжиманий, где ноги находятся выше рук, смещая акцент на верхнюю часть груди и плечи.","Верх груди, Плечи, Трицепс",Силовое,Продвинутый,"[Продвинутая сила верха тела], [Акцент на верх груди]"
37,EX020,Отжимания с узкой постановкой рук,Narrow Grip Push-ups,Вариант отжиманий с близко поставленными руками для акцентированной проработки трицепсов и внутренней части груди.,"Трицепс, Грудь",Силовое,Средний,"[Акцент на трицепс], [Сила рук]"
38,EX021,Отжимания с широкой постановкой рук,Wide Grip Push-ups,Вариант отжиманий с постановкой рук шире плеч для большего вовлечения грудных мышц и передней зубчатой.,"Грудь, Передняя зубчатая",Силовое,Средний,"[Акцент на грудь], [Ширина груди]"
39,EX022,"Отжимание ""Плюс""",Push-up Plus,В верхней точке отжимания выполняется дополнительное выталкивание лопаток вперед для активации передней зубчатой мышцы.,"Передняя зубчатая, Кор",Корректирующее,Средний,"[Здоровье плеч], [Стабильность лопаток]"
40,EX023,Подтягивания прямым хватом,Pull-ups (Pronated Grip),Классическое тяговое движение на перекладине для развития широчайших мышц спины. Ладони смотрят от себя.,"Спина, Бицепс",Силовое,Продвинутый,"[Сила спины], [Ширина спины], [Сила хвата], [Относительная сила]"
41,EX024,Подтягивания обратным хватом,Chin-ups (Supinated Grip),"Вариант подтягиваний, где ладони смотрят на себя, что значительно увеличивает вовлечение бицепсов.","Бицепс, Спина",Силовое,Средний,"[Акцент на бицепс], [Сила рук], [Сила спины]"
42,EX025,Подтягивания нейтральным хватом,Neutral Grip Pull-ups,Вариант подтягиваний на параллельных рукоятках (брусьях). Считается наиболее безопасным для плечевых суставов.,"Спина, Бицепс",Силовое,Средний,"[Здоровье плеч], [Сила спины]"
43,EX026,Негативные подтягивания,Negative Pull-ups,"Упражнение для подготовки к подтягиваниям, где выполняется только медленная, контролируемая фаза опускания.","Спина, Бицепс",Силовое,Начальный,"[Подготовка к подтягиваниям], [Эксцентрическая сила]"
44,EX027,Австралийские подтягивания,Inverted Rows,Горизонтальные подтягивания к низкой перекладине. Отличное упражнение для развития силы спины с минимальной нагрузкой на позвоночник.,"Спина, Задние дельты, Бицепс",Силовое,Средний,"[Сила спины], [Здоровье плеч], [Безопасно для поясницы], [Коррекция осанки]"
45,EX028,Отжимания от опоры (на трицепс),Bench/Chair Dips,"Отжимания спиной к опоре (стул, скамья) для целенаправленной проработки трицепсов.",Трицепс,Силовое,Средний,"[Сила рук], [Акцент на трицепс], [Риск для плеч при неправильной технике]"
46,EX029,"Жим ""Щучкой""",Pike Push-ups,"Отжимания из положения, где тело согнуто в тазобедренных суставах (""домиком""), для акцентированной нагрузки на плечи.","Плечи, Трицепс",Силовое,Продвинутый,"[Сила плеч], [Подготовка к стойке на руках]"
47,EX030,Y-разведения лежа на животе,Y-Raises (Prone),"Лежа на животе, подъемы прямых рук вверх и в стороны в форме буквы ""Y"" для укрепления нижней и средней трапеции.","Верх спины, Плечи",Корректирующее,Начальный,"[Коррекция осанки], [Здоровье плеч]"
49,EX031,Планка на предплечьях,Forearm Plank,Изометрическое удержание прямой линии тела с опорой на предплечья для развития выносливости мышц кора.,Мышцы кора,"Стабильность, Кор",Начальный,"[Стабильность позвоночника], [Выносливость кора], [Здоровье поясницы], [Безопасно для запястий]"
50,EX032,Планка на прямых руках,High Plank,Изометрическое удержание прямой линии тела с опорой на прямые руки.,"Мышцы кора, Плечи","Стабильность, Кор",Начальный,"[Стабильность позвоночника], [Выносливость кора], [Сила плеч]"
51,EX033,Боковая планка,Side Plank,Удержание прямой линии тела в боковом положении с опорой на одно предплечье для проработки косых мышц.,"Косые мышцы, Кор","Стабильность, Кор",Средний,"[Боковая стабильность], [Профилактика болей в спине]"
52,EX034,«Птица-собака»,Bird-Dog,Одновременный подъем разноименных руки и ноги из положения на четвереньках для улучшения нейромышечного контроля.,"Кор, Разгибатели спины","Корректирующее, Стабильность",Начальный,"[Здоровье поясницы], [Нейромышечный контроль], [Баланс], [Безопасно для спины]"
53,EX035,Скручивания на пресс,Crunches,Классическое упражнение на пресс: подъем верхней части корпуса из положения лежа на спине.,Верхний пресс,Кор,Начальный,"[Сила пресса], [Рельеф пресса], [Короргазм]"
54,EX036,Обратные скручивания,Reverse Crunches,Подтягивание коленей к груди с отрывом таза от пола из положения лежа для проработки нижней части пресса.,"Нижний пресс, Кор",Кор,Начальный,"[Сила нижнего пресса], [Контроль таза]"
55,EX037,«Велосипед»,Bicycle Crunches,"Динамическое упражнение, имитирующее езду на велосипеде лежа, с поочередным касанием локтем противоположного колена.","Весь пресс, Косые мышцы",Кор,Средний,"[Сила пресса], [Координация]"
56,EX038,Подъемы ног лежа,Lying Leg Raises,Подъем прямых ног из положения лежа на спине для акцентированной нагрузки на нижнюю часть пресса и сгибатели бедра.,"Нижний пресс, Сгибатели бедра",Кор,Средний,"[Сила нижнего пресса], [Контроль таза]"
57,EX039,«Супермен»,Superman,"Лежа на животе, одновременный подъем рук и ног для укрепления мышц-разгибателей спины и ягодиц.","Разгибатели спины, Ягодицы","Корректирующее, Кор",Начальный,"[Сила поясницы], [Коррекция осанки], [Сила задней цепи]"
58,EX040,«Мертвый жук»,Dead Bug,"Лежа на спине, поочередное опускание разноименных руки и ноги, сохраняя поясницу прижатой к полу.",Глубокие мышцы кора,"Стабильность, Кор",Начальный,"[Здоровье поясницы], [Нейромышечный контроль], [Стабильность кора]"
59,EX041,Повороты корпуса сидя (Русский твист),Russian Twist,"Сидя на полу, отклонив корпус назад, выполняются повороты корпуса из стороны в сторону для проработки косых мышц.","Косые мышцы, Кор",Кор,Средний,"[Сила косых мышц], [Ротация]"
60,EX042,Планка с подъемом руки/ноги,Plank with Limb Raise,"Усложненная планка, где поочередно поднимается одна из конечностей, что требует большей стабилизации.",Мышцы кора,"Стабильность, Кор",Средний,"[Продвинутая стабильность], [Анти-ротация]"
61,EX043,Боковая планка со скручиванием,Side Plank with Rotation,"Из боковой планки свободная рука заводится под корпус и возвращается вверх, добавляя динамику и ротацию.","Косые мышцы, Кор","Стабильность, Кор",Продвинутый,"[Продвинутая стабильность], [Ротация]"
62,EX044,«Уголок» (удержание),L-Sit Hold,"Сидя на полу или на опорах, удержание поднятых прямых ног параллельно полу силой мышц пресса.","Весь пресс, Сгибатели бедра",Кор,Продвинутый,"[Продвинутая сила пресса], [Поддержка партнера]"
63,EX045,Подъемы ног в висе,Hanging Leg Raises,"Вися на перекладине, подъем ног к турнику. Одно из самых эффективных упражнений для всего пресса.","Весь пресс, Сгибатели бедра",Кор,Продвинутый,"[Продвинутая сила пресса], [Сила хвата]"
65,CX001,Бёрпи (классическое),Burpee,"Комплексное движение, включающее приседание, планку, отжимание и прыжок вверх. Максимально нагружает все тело.",Все тело,"HIIT, Кардио",Продвинутый,"[Высокая интенсивность], [Сжигание калорий], [Выносливость], [Взрывная сила]"
66,CX002,Бёрпи (упрощенное),Burpee (No Push-up),"Вариант бёрпи без отжимания. Сохраняет высокую кардио-нагрузку, но снижает силовые требования.",Все тело,"HIIT, Кардио",Средний,"[Высокая интенсивность], [Сжигание калорий], [Выносливость]"
67,CX003,Шагающее Бёрпи,Walking Burpee,"Вариант бёрпи без прыжков, где ноги поочередно отшагивают в планку и обратно. Убирает ударную нагрузку.",Все тело,Кардио,Начальный,"[Низкая ударная нагрузка], [Безопасно для суставов], [Подготовка к бёрпи]"
68,CX004,"Прыжки ""Jumping Jacks""",Jumping Jacks,Классические прыжки с одновременным разведением рук и ног в стороны. Отличное базовое кардио-упражнение.,Все тело,Кардио,Начальный,"[Выносливость], [Сжигание калорий], [Координация]"
69,CX005,Бег с высоким подъемом коленей,High Knees,Интенсивный бег на месте с максимально высоким подъемом коленей к груди.,"Ноги, Кор, Все тело","HIIT, Кардио",Средний,"[Высокая интенсивность], [Здоровье сердца]"
70,CX006,"""Скалолаз""",Mountain Climbers,"Из положения планки, поочередное и быстрое подтягивание коленей к груди.","Кор, Все тело","HIIT, Кардио, Кор",Средний,"[Стабильность кора], [Высокая интенсивность]"
71,CX007,Бег с захлестом голени,Butt Kicks,Бег на месте с касанием пятками ягодиц. Активирует заднюю поверхность бедра.,"Задняя поверхность бедра, Все тело",Кардио,Начальный,"[Разогрев], [Координация]"
72,CX008,Прыжки со скакалкой (воображаемой),Phantom Jump Rope,Имитация прыжков со скакалкой. Отличное кардио с низкой ударной нагрузкой.,"Икры, Все тело",Кардио,Начальный,"[Выносливость], [Координация], [Низкая ударная нагрузка]"
73,CX009,Боковые прыжки,Lateral Jumps,"Прыжки из стороны в сторону с одной ноги на другую, развивая боковую ловкость и мощность.","Ноги, Ягодицы","Кардио, Баланс",Средний,"[Боковая стабильность], [Ловкость]"
74,CX010,"""Конькобежец""",Skaters,"Диагональные прыжки из стороны в сторону с отведением свободной ноги назад, имитируя движения конькобежца.","Ноги, Ягодицы, Кор","Кардио, Баланс",Средний,"[Баланс], [Координация], [Сила ног]"
75,CX011,Быстрые шаги,Fast Feet,Очень быстрые и короткие шаги на месте на носках. Развивает скорость и координацию.,"Икры, Ноги","Кардио, HIIT",Начальный,"[Скорость], [Разогрев]"
76,CX012,Удары руками и ногами (Бой с тенью),Shadow Boxing,"Имитация ударов руками (прямые, хуки, апперкоты) и ногами в свободном темпе.",Все тело,Кардио,Начальный,"[Координация], [Снятие стресса], [Выносливость]"
77,CX013,Прыжки на короб (на стул),Box Jumps (on chair),Запрыгивания на устойчивую возвышенность. Развивает взрывную силу ног.,"Ноги, Ягодицы","HIIT, Кардио",Продвинутый,"[Взрывная сила], [Мощность ног]"
78,CX014,"Прыжки ""Звезда""",Star Jumps,"Из положения приседа, выпрыгивание вверх с одновременным разведением рук и ног в стороны, образуя ""звезду"".",Все тело,"HIIT, Кардио",Средний,"[Высокая интенсивность], [Координация]"
79,CX015,Танцевальное кардио (свободное),Freestyle Dance Cardio,Танцевальные движения под быструю музыку в свободном стиле.,Все тело,Кардио,Начальный,"[Снятие стресса], [Удовольствие от движения], [Координация]"
81,SX001,Сжатие Кегеля (Базовое),Kegel Squeeze (Basic),Изолированное напряжение и расслабление лобково-копчиковой мышцы для улучшения контроля и кровообращения.,Мышцы тазового дна (МТД),"Потенция, Таз",Начальный,"[Качество эрекции], [Контроль эякуляции], [Сила оргазма]"
82,SX002,Пульсации Кегеля (Быстрые),Kegel Pulses (Fast),"Быстрые, ритмичные сокращения и расслабления МТД для развития скорости мышечного отклика.",Мышцы тазового дна (МТД),"Потенция, Таз",Средний,"[Контроль эякуляции], [Усиление ощущений]"
83,SX003,Удержания Кегеля (Длинные),Kegel Holds (Long),Длительное удержание МТД в напряженном состоянии для развития статической выносливости.,Мышцы тазового дна (МТД),"Потенция, Таз",Средний,"[Выносливость эрекции], [Контроль]"
84,SX004,Обратные Кегели (Расслабление),Reverse Kegels (Relaxation),"Практика осознанного расслабления и легкого ""выталкивания"" МТД, а не их сжатия.",Мышцы тазового дна (МТД),"Контроль, Таз",Средний,"[Контроль эякуляции], [Комфорт для пассивной роли], [Снятие напряжения]"
85,SX005,"Упражнение ""Лифт""","The ""Elevator"" Kegel","Постепенное, ""поэтажное"" напряжение и расслабление МТД для развития тонкого контроля.",Мышцы тазового дна (МТД),"Контроль, Таз",Продвинутый,"[Продвинутый контроль], [Осознанность тела]"
86,SX006,Кегели с сопротивлением,Resisted Kegels,"Продвинутая техника, где на эрегированный пенис кладется легкое полотенце, которое поднимается силой МТД.",Мышцы тазового дна (МТД),"Потенция, Таз",Продвинутый,"[Продвинутая сила эрекции], [Максимальный контроль]"
87,SX007,Сжатие МТД с дыханием,Kegel with Breathing,"Синхронизация сжатия МТД с вдохом, а расслабления с выдохом, для улучшения контроля и расслабления.",Мышцы тазового дна (МТД),"Контроль, Таз",Начальный,"[Осознанность тела], [Снятие стресса]"
88,SX008,Сокращение МТД в мостике,Glute Bridge with Kegel,Во время удержания Ягодичного моста в верхней точке выполняется серия сжатий Кегеля.,"Ягодицы, МТД","Потенция, Силовое",Средний,"[Сила толчков], [Качество эрекции], [Комплексная активация]"
89,SX009,Наклоны таза лежа,Pelvic Tilts (Supine),"Лежа на спине, выполняются плавные наклоны таза вперед-назад для улучшения осознанности и мобильности поясницы.","Кор, МТД","Мобильность, Таз",Начальный,"[Подвижность таза], [Контроль движений], [Здоровье поясницы]"
90,SX010,"""Олени у ручья"" (Даосская практика)",Deer at the Stream,"Упражнение, сочетающее глубокое дыхание с напряжением МТД и низа живота для стимуляции сексуальной энергии.","МТД, Нижний пресс","Энергия, Таз",Продвинутый,"[Повышение либидо], [Сексуальная энергия]"
91,SX011,Изолированное сокращение анального сфинктера,Anal Sphincter Contractions,"Целенаправленное сжатие только мышц анального сфинктера, что является частью комплекса МТД.",Мышцы тазового дна (МТД),"Контроль, Таз",Средний,"[Контроль для пассивной роли], [Усиление ощущений]"
92,SX012,Изолированное сокращение уретрального сфинктера,Urethral Sphincter Contractions,"Целенаправленное сжатие передней части МТД, как при попытке остановить мочеиспускание.",Мышцы тазового дна (МТД),"Контроль, Таз",Средний,"[Контроль эякуляции], [Здоровье простаты]"
93,SX013,"Динамические наклоны таза (""Кошка-Корова"")",Cat-Cow with Pelvic Focus,"Выполнение упражнения ""Кошка-Корова"" с акцентом на движения таза и осознанное вовлечение МТД.","Позвоночник, МТД","Мобильность, Таз",Начальный,"[Подвижность таза], [Осознанность тела]"
94,SX014,Самомассаж промежности,Perineum Self-Massage,Легкий массаж и надавливание на область промежности (между мошонкой и анусом) для стимуляции и расслабления.,Промежность,"Практика, Таз",Начальный,"[Усиление ощущений], [Улучшение кровотока], [Здоровье простаты]"
95,SX015,Глубокое диафрагмальное дыхание,Diaphragmatic Breathing,"Медленное и глубокое дыхание ""животом"", которое способствует расслаблению, снижению стресса и улучшению кровообращения.",Диафрагма,"Практика, Расслабление",Начальный,"[Снятие стресса], [Снижение тревоги], [Качество эрекции]"
97,CZ001,"Растяжка ""Бабочка""",Butterfly Stretch,"Сидя на полу, соединив стопы вместе, мягкое надавливание на колени для растяжки внутренней поверхности бедер.",Внутренняя поверхность бедра,"Заминка, Растяжка",Начальный,"[Гибкость для поз], [Здоровье таза]"
98,CZ002,Поза Голубя,Pigeon Pose,"Одна нога согнута перед собой, другая вытянута назад. Глубокая растяжка ягодичных мышц и сгибателей бедра.","Ягодицы, Сгибатели бедра","Заминка, Растяжка",Средний,"[Глубокая растяжка], [Гибкость для поз], [Снятие стресса], [Здоровье таза]"
99,CZ003,Поза Ребенка,Child's Pose,"Сидя на пятках, наклон корпуса вперед с вытянутыми руками. Мягко растягивает и расслабляет всю спину.","Спина, Бедра","Заминка, Растяжка",Начальный,"[Снятие стресса], [Расслабление поясницы]"
100,CZ004,Растяжка задней поверхности бедра,Hamstring Stretch (Single Leg),"Сидя, одна нога выпрямлена, другая согнута. Плавный наклон корпуса к прямой ноге.",Задняя поверхность бедра,"Заминка, Растяжка",Начальный,"[Гибкость ног], [Здоровье поясницы]"
101,CZ005,Растяжка квадрицепса,Quad Stretch (Side-lying),"Лежа на боку, сгибание верхней ноги и притягивание пятки к ягодице для растяжки передней поверхности бедра.",Квадрицепс,"Заминка, Растяжка",Начальный,"[Гибкость ног], [Профилактика травм колена]"
102,CZ006,Растяжка грудных мышц,Chest Stretch (Doorway),"В дверном проеме, уперевшись предплечьями в косяки, подать корпус вперед для раскрытия грудной клетки.","Грудь, Плечи","Заминка, Растяжка",Начальный,"[Коррекция осанки], [Раскрытие грудной клетки]"
103,CZ007,Скручивание позвоночника лежа,Supine Spinal Twist,"Лежа на спине, согнутое колено переносится через тело в противоположную сторону, растягивая спину и ягодицы.","Спина, Кор, Ягодицы","Заминка, Растяжка",Начальный,"[Подвижность позвоночника], [Снятие напряжения]"
104,CZ008,Растяжка трицепса за головой,Overhead Triceps Stretch,"Подняв руку вверх и согнув в локте, другой рукой мягко тянуть локоть за голову.","Трицепс, Плечи","Заминка, Растяжка",Начальный,"[Гибкость рук], [Подвижность плеч]"
105,CZ009,Растяжка шеи,Neck Stretch (Lateral Flexion),"Сидя прямо, аккуратно наклонить голову к одному плечу, помогая рукой, для растяжки боковых мышц шеи.",Шея,"Заминка, Растяжка",Начальный,"[Снятие напряжения в шее], [Профилактика головных болей]"
106,CZ010,Собака мордой вниз,Downward-Facing Dog,"Из положения планки, поднять таз вверх, образуя телом перевернутую V. Растягивает всю заднюю поверхность тела.",Вся задняя цепь,"Заминка, Растяжка",Средний,"[Растяжка всего тела], [Сила верха тела]"
107,CZ011,Наклон вперед стоя,Standing Forward Bend,"Из положения стоя, плавный наклон корпуса вниз к ногам. Интенсивно растягивает заднюю поверхность бедер и спину.","Задняя поверхность бедра, Спина","Заминка, Растяжка",Начальный,"[Гибкость ног], [Снятие стресса]"
108,CZ012,Поза Счастливого Ребенка,Happy Baby Pose,"Лежа на спине, подтянуть колени к подмышкам и захватить стопы. Раскрывает таз и расслабляет поясницу.","Внутренняя поверхность бедра, Поясница","Заминка, Растяжка",Начальный,"[Здоровье таза], [Гибкость для поз], [Расслабление поясницы]"
109,CZ013,Поза Лягушки,Frog Pose,"Стоя на четвереньках, развести колени максимально широко и опуститься на предплечья. Глубочайшая растяжка паха.",Внутренняя поверхность бедра,"Заминка, Растяжка",Продвинутый,"[Глубокая растяжка], [Комфорт для пассивной роли], [Экстремальное раскрытие таза]"
110,CZ014,Растяжка икр у стены,Calf Stretch (Wall),"Уперевшись руками в стену, отставить одну ногу назад и тянуть пятку к полу.",Икры,"Заминка, Растяжка",Начальный,"[Гибкость голеностопа], [Профилактика травм стопы]"
111,CZ015,Глубокое диафрагмальное дыхание,Diaphragmatic Breathing,"Лежа на спине, положить одну руку на живот, другую на грудь. Медленно дышать так, чтобы поднимался только живот.",Диафрагма,"Практика, Расслабление",Начальный,"[Снятие стресса], [Снижение тревоги], [Активация парасимпатики]"
115,WZ016,Позвоночная волна,Spinal Wave,"Стоя или на четвереньках, выполняются плавные, волнообразные движения позвоночником для улучшения его сегментарного контроля.","Позвоночник, Кор",Разминка,Начальный,"[Подвижность позвоночника], [Осознанность тела], [Снятие напряжения]"
116,WZ017,Контролируемые вращения тазобедренного сустава,Hip CARs (Controlled Articular Rotations),"Стоя на одной ноге (с опорой), выполняются медленные, полные круговые движения бедром для здоровья и мобильности сустава.",Бедра,Разминка,Средний,"[Здоровье суставов], [Подвижность таза], [Профилактика травм]"
117,WZ018,Грудные скручивания на четвереньках,Quadruped Thoracic Rotations,"Стоя на четвереньках, одна рука за головой. Выполняются скручивания, раскрывая грудной отдел вверх и закрывая вниз.",Грудной отдел спины,Разминка,Начальный,"[Коррекция осанки], [Подвижность позвоночника], [Раскрытие грудной клетки]"
118,WZ019,Величайшая растяжка в мире,World's Greatest Stretch,"Комплексное движение, сочетающее глубокий выпад, скручивание позвоночника и растяжку задней поверхности бедра.",Все тело,"Разминка, Гибкость",Средний,"[Динамическая растяжка], [Активация всего тела], [Подвижность таза]"
